DATE;CLOSING PRICE;OPEN;DAILY HIGH;DAILY LOW
11/19/2004;23176.70;;23196.38;22897.00
11/22/2004;22877.40;;23176.70;22808.00
11/23/2004;23472.44;;23515.04;22931.37
11/24/2004;23516.34;;23705.79;23396.50
11/25/2004;23464.46;;23587.90;23294.73
11/26/2004;23293.21;;23511.26;23165.00
11/29/2004;22799.16;;23297.43;22648.88
11/30/2004;22486.20;;22799.16;22356.68
12/1/2004;22560.87;;22856.68;22481.98
12/2/2004;23150.06;;23150.25;22560.87
12/3/2004;23008.07;;23219.79;22930.36
12/6/2004;23049.51;;23286.24;22892.95
12/7/2004;23075.58;;23075.58;22759.80
12/8/2004;22625.44;;23075.58;22469.77
12/9/2004;22679.88;;22903.73;22233.76
12/10/2004;22943.67;;23013.39;22526.36
12/13/2004;23634.75;;23634.75;22943.67
12/14/2004;23417.90;;23968.49;23329.29
12/15/2004;23289.69;;23552.27;23123.89
12/16/2004;23935.20;;23935.20;23289.69
12/17/2004;24360.63;;24360.63;23181.58
12/20/2004;24341.41;;24717.92;24236.30
12/21/2004;24015.96;;24399.56;23952.49
12/22/2004;24525.29;;24548.01;24025.80
12/23/2004;24430.82;;24841.91;24345.64
12/24/2004;24537.72;;24646.45;24382.15
12/27/2004;24590.84;;24601.06;24409.85
12/28/2004;24935.82;;24935.82;24583.76
12/29/2004;24971.68;;25106.19;24837.84
1/3/2005;25445.15;;25508.11;24918.24
1/4/2005;25042.00;;25602.23;24992.82
1/5/2005;24422.94;;25042.00;24263.97
1/6/2005;24561.85;;24588.41;24237.72
1/7/2005;25308.25;;25308.25;24481.07
1/10/2005;25537.05;;25731.48;25141.97
1/11/2005;26110.17;;26181.12;25581.95
1/12/2005;26271.34;;26575.00;25804.10
1/13/2005;26493.02;;26565.55;26081.80
1/14/2005;26362.68;;26749.75;26240.08
1/17/2005;26768.90;;26835.19;26359.87
1/18/2005;26813.13;;26905.89;26624.30
1/19/2005;26918.10;;26918.10;26443.18
1/24/2005;26469.43;;26469.43;26469.43
1/25/2005;26859.99;;26860.59;26246.66
1/26/2005;27056.02;;27284.45;26781.69
1/27/2005;27302.74;;27661.82;27056.02
1/28/2005;27074.09;;27471.22;26975.18
1/31/2005;27330.35;;27353.71;26850.63
2/1/2005;27849.79;;27859.75;27330.35
2/2/2005;27936.53;;28278.12;27729.10
2/3/2005;27554.79;;28074.09;27476.75
2/4/2005;27813.16;;27898.96;27465.39
2/7/2005;28201.72;;28402.72;27813.16
2/8/2005;28269.69;;28315.39;27925.01
2/9/2005;27528.08;;28366.35;27378.01
2/10/2005;27308.78;;27777.17;27095.24
2/11/2005;27736.29;;27954.64;27234.88
2/14/2005;28003.60;;28065.01;27736.29
2/15/2005;28164.08;;28325.41;27922.17
2/16/2005;27661.58;;28164.08;26890.06
2/17/2005;27000.44;;27798.93;26868.92
2/18/2005;27293.22;;27299.73;26868.18
2/21/2005;26864.27;;27392.98;26720.81
2/22/2005;26657.40;;27121.15;26553.89
2/23/2005;26921.27;;26921.27;26403.76
2/24/2005;27354.57;;27445.25;26921.27
